lep_id,lep_year,year,value,variable,description,unit,lep_name
E37000001,2014,2014,170.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Black Country
E37000001,2014,2015,195.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Black Country
E37000001,2014,2016,200.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Black Country
E37000001,2017,2017,175.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Black Country
E37000001,2017,2018,160.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Black Country
E37000002,2014,2014,150.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Buckinghamshire Thames Valley
E37000002,2014,2015,150.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Buckinghamshire Thames Valley
E37000002,2014,2016,145.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Buckinghamshire Thames Valley
E37000002,2017,2017,160.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Buckinghamshire Thames Valley
E37000002,2017,2018,155.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Buckinghamshire Thames Valley
E37000003,2014,2014,75.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Cheshire and Warrington
E37000003,2014,2015,85.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Cheshire and Warrington
E37000003,2014,2016,85.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Cheshire and Warrington
E37000003,2017,2017,90.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Cheshire and Warrington
E37000003,2017,2018,125.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Cheshire and Warrington
E37000004,2014,2014,1030.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Coast to Capital
E37000004,2014,2015,1115.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Coast to Capital
E37000004,2014,2016,1055.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Coast to Capital
E37000004,2017,2017,980.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Coast to Capital
E37000004,2017,2018,1025.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Coast to Capital
E37000005,2014,2014,10.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Cornwall and Isles of Scilly
E37000005,2014,2015,5.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Cornwall and Isles of Scilly
E37000005,2014,2016,5.0,total_postgraduates,Total number of STEM students,Total number of students in STEM subjects,Cornwall and Isles of Scilly
